Full Name,Student ID,Gender,Student Type,Average Grade,Study Programme,Study Area,Internship Options,Company Preferences,First Preference,Second Preference,Internship Status,Internship Semester,Date of Birth,Offer Date
Samantha Green,20248741,Male,Domestic,A grade,Bachelor of Applied IT,Database or Data Analytics,"Data analytics, System support – help desk, API development, Web development",Tuatahi First Fibre,Internship,Internship,Placed,2023 S2,14/02/1993,11/07/2024
Shelley Quinn,20215473,Female,International,B grade,Bachelor of Applied IT,Network Engineering,"Security, UX/UI design, System support – help desk","Hospital, Enlighten Design, Tuatahi First Fibre",Classroom project,Classroom project,For Review,2020 S2,20/10/1989,
Jeffrey Warren,20234465,Male,Domestic,A grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"System support – help desk, Networking",Datacom,Internal client internship/project,Internship,Placed,2023 S1,5/06/1991,3/02/2024
Jorge Brown PhD,20221873,Male,Domestic,A grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Web development, UX/UI design",Hospital,Design Factory,Industry project,Available,2020 S1,25/04/2001,
Raymond Shannon,20288358,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,Business analysis,Gallagher,Classroom project,Industry project,For Review,2022 S2,23/09/1992,
Jordan Williams,20201610,Male,International,A grade,Postgraduate Diploma in Applied IT,Network Engineering,Mobile app development,"Hospital, Other",Internship,Industry project,For Review,2021 S1,15/02/1997,
Jack Mora,20223456,Male,International,B grade,Master of Applied IT,Network Engineering,"Mobile app development, Database, Project management","Waikato Regional Council, HCC - Hamilton City Council",Design Factory,Classroom project,Available,2020 S2,3/01/1990,
Suzanne Yang,20254967,Male,International,B grade,Postgraduate Diploma in Applied IT,Software Engineering,Game development,"Gallagher, Fonterra, HCC - Hamilton City Council",Classroom project,Industry project,For Review,2022 S1,11/06/1996,
Jason Cortez,20235554,Female,International,A grade,Bachelor of Applied IT,Business Analysis or Project Management,"Software testing, Business analysis, Data analytics",Enlighten Design,Design Factory,Design Factory,For Review,2022 S1,15/06/1991,
Barbara Nunez,20206903,Female,Domestic,C grade,Master of Applied IT,Software Engineering,"System support – help desk, Project management, UX/UI design","Hospital, Tuatahi First Fibre, LIC",Internal client internship/project,Internship,Placed,2024 S2,27/11/1994,13/07/2024
Jose Williams,20252550,Male,International,A grade,Bachelor of Applied IT,Network Engineering,"Web development, UX/UI design, Game development","Waikato Regional Council, LIC",Internship,Industry project,Available,2023 S2,24/02/1991,
Sharon Ayala,20240723,Male,International,B grade,Bachelor of Applied IT,Network Engineering,"UX/UI design, Business analysis","Enlighten Design, CTEK, Datacom, IT Partners",Internal client internship/project,GIG - Internal client based projects,For Review,2024 S1,10/12/1999,
Jesus Wood,20238219,Female,International,A grade,Master of Applied IT,Database or Data Analytics,"Web development, Other, Database",Hospital,Industry project,GIG - Internal client based projects,Placed,2021 S2,22/02/1999,28/07/2024
Dana Richardson,20264665,Female,Domestic,A grade,Postgraduate Diploma in Applied IT,Network Engineering,Other,"LIC, HCC - Hamilton City Council, Gallagher, Datacom",Industry project,Industry project,For Review,2021 S1,15/06/1995,
Kimberly Flynn,20219735,Male,International,C grade,Bachelor of Applied IT,Business Analysis or Project Management,"API development, System support – help desk, UX/UI design, Web development","Fonterra, Datacom",Design Factory,Industry project,Available,2022 S1,8/01/1989,
Allison Weaver,20283354,Female,International,B grade,Postgraduate Diploma in Applied IT,Network Engineering,"Game development, Other, System support – help desk","Tuatahi First Fibre, Fonterra, Blackout Games, Waikato Regional Council",GIG - Internal client based projects,Classroom project,For Review,2023 S2,17/02/1989,
April Sandoval,20296741,Female,Domestic,A grade,Postgraduate Diploma in Applied IT,Software Engineering,"UX/UI design, System support – help desk, API development, Game development, Data analytics","Tuatahi First Fibre, IT Partners, Fonterra",Design Factory,Design Factory,Available,2020 S2,8/04/1999,
Joseph Allen,20264491,Male,Domestic,A grade,Bachelor of Applied IT,Software Engineering,Networking,"Tuatahi First Fibre, Fonterra, Enlighten Design",Classroom project,GIG - Internal client based projects,Available,2023 S1,4/11/1990,
Brenda Ramirez,20205754,Female,International,B grade,Bachelor of Applied IT,Network Engineering,"Business analysis, System support – help desk, Web development, Game development","Other, Enlighten Design, CTEK",Design Factory,GIG - Internal client based projects,Available,2022 S2,5/09/1996,
Kelly Haynes,20248823,Male,Domestic,B grade,Master of Applied IT,Software Engineering,"Data analytics, Networking","Hospital, Enlighten Design, Other",Internship,GIG - Internal client based projects,Placed,2021 S1,27/05/2004,20/02/2024
Angela Davis,20217499,Female,International,B grade,Bachelor of Applied IT,Software Engineering,Security,Hospital,GIG - Internal client based projects,Classroom project,Available,2024 S2,22/03/2002,
Keith Graham,20217132,Male,Domestic,A grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Database, Other, Project management","Waikato Regional Council, IT Partners, Fonterra, LIC",Internship,GIG - Internal client based projects,Placed,2022 S2,10/11/1996,9/07/2024
Samuel Howe,20251505,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Network Engineering,"Other, Data analytics",LIC,Internship,GIG - Internal client based projects,Available,2024 S1,27/11/1999,
Dillon Jones,20226569,Female,Domestic,A grade,Bachelor of Applied IT,Database or Data Analytics,"UX/UI design, System support – help desk","Tuatahi First Fibre, Datacom",Design Factory,Internship,Available,2024 S2,8/06/1993,
Lauren Moore,20221544,Male,International,A grade,Master of Applied IT,Software Engineering,"API development, Game development","Hospital, Waikato Regional Council, LIC, Datacom",Internship,Internal client internship/project,For Review,2023 S1,7/02/2004,
Jason Herrera,20227215,Female,International,B grade,Bachelor of Applied IT,Software Engineering,"Data analytics, Project management, Security, Networking",IT Partners,Internship,GIG - Internal client based projects,Placed,2020 S1,7/03/2004,7/02/2024
Derek Wilson,20220658,Male,Domestic,C grade,Master of Applied IT,Database or Data Analytics,"Data analytics, Software testing, Mobile app development, Business analysis","CTEK, Other, Hospital, Enlighten Design",Internal client internship/project,Industry project,Available,2023 S1,26/02/1999,
Melissa Williams,20242964,Male,Domestic,B grade,Bachelor of Applied IT,Network Engineering,"Other, UX/UI design, Game development, System support – help desk",Waikato Regional Council,Internship,Design Factory,Available,2021 S2,7/11/1993,
David Kelly,20267300,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Software Engineering,Project management,"Gallagher, Hospital, CTEK",Internship,GIG - Internal client based projects,Available,2023 S2,21/06/1990,
Debbie Ewing,20204073,Female,Domestic,C grade,Master of Applied IT,Network Engineering,"Game development, Data analytics, Project management",Enlighten Design,Classroom project,Internal client internship/project,Placed,2021 S2,25/07/2002,5/07/2024
Kristi Pierce,20212415,Male,International,B grade,Bachelor of Applied IT,Database or Data Analytics,"Other, Data analytics, System support – help desk, Software testing, Security","Hospital, Blackout Games, HCC - Hamilton City Council, Other",Industry project,Industry project,Placed,2020 S2,11/07/2004,14/07/2024
Riley Martinez,20208083,Male,International,B grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"UX/UI design, API development","Hospital, LIC, Other, Datacom",Design Factory,GIG - Internal client based projects,Placed,2023 S2,14/05/1996,26/07/2024
Rodney Watson,20282614,Female,International,C grade,Master of Applied IT,Network Engineering,"Game development, UX/UI design, Software testing","Hospital, Other, Blackout Games, Fonterra",Industry project,Industry project,Available,2020 S2,31/08/1991,
Deanna Hess,20202857,Male,International,A grade,Postgraduate Diploma in Applied IT,Software Engineering,Business analysis,"Datacom, CTEK, Fonterra",Design Factory,GIG - Internal client based projects,For Review,2022 S1,31/12/1990,
Matthew Lamb,20212055,Male,Domestic,B grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Database, Project management","LIC, Fonterra",Internship,Design Factory,Available,2022 S2,1/02/2000,
Tom Williams,20275220,Female,International,B grade,Master of Applied IT,Business Analysis or Project Management,"Business analysis, API development","Enlighten Design, Hospital",GIG - Internal client based projects,Internship,Placed,2022 S2,18/07/2003,17/07/2024
Jennifer Johnson,20289550,Male,Domestic,C grade,Master of Applied IT,Business Analysis or Project Management,"Data analytics, API development","Gallagher, CTEK, Datacom, HCC - Hamilton City Council",GIG - Internal client based projects,Industry project,Placed,2020 S1,28/04/2003,28/02/2024
Daniel Lopez,20236681,Female,Domestic,B grade,Master of Applied IT,Software Engineering,Database,"CTEK, Fonterra, Hospital, Tuatahi First Fibre",Internal client internship/project,Classroom project,Available,2020 S2,24/12/2003,
Amanda Harvey,20232215,Female,Domestic,C grade,Bachelor of Applied IT,Business Analysis or Project Management,System support – help desk,"Other, Waikato Regional Council, Gallagher",GIG - Internal client based projects,Internal client internship/project,Available,2021 S1,5/11/1998,
Dr. John Miller MD,20254949,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Web development, Other","Enlighten Design, Hospital",Internship,Internal client internship/project,Placed,2024 S2,4/08/1995,22/07/2024
Rebecca Wright,20271258,Male,Domestic,B grade,Master of Applied IT,Software Engineering,Security,"Tuatahi First Fibre, Datacom, Gallagher",Internship,Design Factory,Placed,2022 S2,20/06/1989,14/07/2024
Rachael Howard DDS,20263527,Male,Domestic,A grade,Bachelor of Applied IT,Network Engineering,"Game development, Data analytics","Enlighten Design, Waikato Regional Council, Datacom",GIG - Internal client based projects,GIG - Internal client based projects,Available,2020 S2,5/07/2000,
Kathryn Price,20223568,Female,Domestic,C grade,Master of Applied IT,Business Analysis or Project Management,"Networking, Security, Software testing",LIC,Classroom project,GIG - Internal client based projects,Placed,2024 S1,9/09/1989,1/02/2024
Daniel Huang,20236822,Female,Domestic,C grade,Master of Applied IT,Network Engineering,"System support – help desk, Game development, Data analytics, Project management, Software testing","Waikato Regional Council, Datacom, LIC",Internal client internship/project,Internship,Placed,2024 S1,19/10/1990,13/02/2024
Kaitlyn Howard,20276544,Male,Domestic,C grade,Master of Applied IT,Business Analysis or Project Management,Database,Other,Industry project,GIG - Internal client based projects,For Review,2021 S1,21/09/1996,
Ariel Sandoval,20234934,Male,International,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,Networking,"Waikato Regional Council, HCC - Hamilton City Council",GIG - Internal client based projects,Industry project,For Review,2024 S1,15/09/1990,
Theresa Johnston,20250911,Male,International,A grade,Master of Applied IT,Database or Data Analytics,"Database, System support – help desk, Game development",HCC - Hamilton City Council,Internal client internship/project,Internship,Placed,2022 S1,16/11/2000,18/02/2024
Wendy Thompson,20231005,Female,International,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Mobile app development, Business analysis, Database, UX/UI design, Web development",Hospital,Internship,Industry project,For Review,2021 S2,17/08/1999,
